object_id,camp_name,num_employee,employ_others,yes_employ_others,avg_customers,business_type,business_type_clothing,business_type_grocery,business_type_restaurant,business_type_craft,market_condition,market_security,market_depth,cash_food_local,outside_job,competition,income_compare,business_start,sell_food_assistance,sell_food_assistance_yes,customer_locations,customer_locations_camp_change,entrepreneurship_training,training_grow,training_grow_financing,training_grow_training,finances_care,finances_care_underbed,finances_care_remmitances,finances_care_mobile,finances_care_other_text,finances_care_other,business_leave_camp,leave_camp_support_business,id_problem_fequency,ibs,ibs_comm,ibs_saco,ibs_mobile,ibs_microloan,ibs_nobank,key_good_demand_change,x,y,household_money_supply
68,kigeme,1,yesfamily,1,50,craft,FALSE,FALSE,FALSE,TRUE,poor,good,house,yes,no,five,increased,1/26/2014,,,aroundcamp,yes,no,training,FALSE,TRUE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52246,-2.48877,
69,kigeme,1,noemploy,,8,craft,FALSE,FALSE,FALSE,TRUE,average,good,house,yes,no,five,remain,4/3/2016,,,aroundcamp,no,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52459,-2.4881,
70,kigeme,1,noemploy,,5,craft,FALSE,FALSE,FALSE,TRUE,average,good,house,yes,no,five,decrease,9/21/2016,,,aroundcamp,yes,no,financing,TRUE,FALSE,underbed,TRUE,FALSE,FALSE,FALSE,,yes,monthly,monthly,nobank,FALSE,FALSE,FALSE,FALSE,TRUE,yes,29.52297,-2.48561,
71,kigeme,1,noemploy,,20,craft,FALSE,FALSE,FALSE,TRUE,good,good,house,yes,no,five,increased,7/7/2015,,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,saco bank,yes,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52258,-2.48697,
72,kigeme,1,noemploy,,30,craft,FALSE,FALSE,FALSE,TRUE,poor,good,house,yes,no,five,increased,2/14/2014,,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,tigo cash,yes,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52402,-2.48697,
73,kigeme,1,noemploy,,30,craft,FALSE,FALSE,FALSE,TRUE,good,good,house,yes,no,five,increased,6/30/2012,,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,saco bank,no,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.52347,-2.48527,
74,mugombwa,1,noemploy,,20,restaurant,FALSE,FALSE,TRUE,FALSE,poor,good,house,yes,no,five,increased,1/13/2016,no,,aroundcamp,yes,no,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,no,daily,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.85158,-2.67458,firewood
75,mugombwa,2,yesfamily,2,25,cell/hair,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,yes,five,increased,5/1/2014,yes,1,aroundcamp,yes,yes,financing,TRUE,FALSE,mobilemoney,FALSE,FALSE,TRUE,FALSE,,yes,monthly,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.8512,-2.67477,firewood
76,mugombwa,2,noemploy,,20,hair,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,three,increased,2/6/2015,no,,aroundcamp,yes,yes,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,saco,no,monthly,monthly,saco,FALSE,TRUE,FALSE,FALSE,FALSE,yes,29.85122,-2.67483,firewood
77,mugombwa,1,noemploy,,20,general,FALSE,FALSE,FALSE,FALSE,poor,good,house,yes,no,five,increased,1/16/2017,yes,2,aroundcamp,yes,no,financing,TRUE,FALSE,other,FALSE,FALSE,FALSE,TRUE,cooperatives,no,weekly,monthly,mobile,FALSE,FALSE,TRUE,FALSE,FALSE,yes,29.84967,-2.67494,firewood
